[시간대별 통계]
time_bucket,total,fatal,error,warn,info,debug,top_node_1,top_node_1_count,top_node_2,top_node_2_count,top_node_3,top_node_3_count
2026-01-27 08:57,4478,0,96,18,4364,0,motor_driver_node-11,1729,logistics_module_node-19,1140,sysbot_monitor_hw_node-27,631
2026-01-27 08:58,5522,0,116,57,5349,0,sysbot_monitor_hw_node-27,2380,motor_driver_node-11,778,sysbot_monitor_node-28,569

[노드별 통계]
rank,node,total_count,percent,fatal,error,warn,info,debug
1,sysbot_monitor_hw_node-27,3011,30.11,0,0,72,2939,0
2026-01-27 08:57:50,ERROR,tsd_node-25,1769471870.8500602 [tsd_node-25] [08:57:50.849] [tsd_node.cpp(438)]Send() Error writing to serial port: PortNotOpenedException Serial::write failed.
2026-01-27 08:57:50,WARN,sysbot_monitor_hw_node-27,1769471870.9059587 [sysbot_monitor_hw_node-27] [08:57:50.905] [hw_system_monitor.cpp(1142)]check_disk_alarm() High disk usage detected : 47.0% >= 90.0%
2026-01-27 08:57:51,ERROR,tsd_node-25,1769471871.3501179 [tsd_node-25] [08:57:51.349] [tsd_node.cpp(438)]Send() Error writing to serial port: PortNotOpenedException Serial::write failed.
2026-01-27 08:57:51,ERROR,tsd_node-25,1769471871.8500178 [tsd_node-25] [08:57:51.849] [tsd_node.cpp(438)]Send() Error writing to serial port: PortNotOpenedException Serial::write failed.
2026-01-27 08:57:51,WARN,sysbot_monitor_hw_node-27,1769471871.9042616 [sysbot_monitor_hw_node-27] [08:57:51.904] [hw_system_monitor.cpp(1142)]check_disk_alarm() High disk usage detected : 47.0% >= 90.0%
2026-01-27 08:57:52,ERROR,tsd_node-25,1769471872.3501496 [tsd_node-25] [08:57:52.349] [tsd_node.cpp(438)]Send() Error writing to serial port: PortNotOpenedException Serial::write failed.
2026-01-27 08:57:52,ERROR,tsd_node-25,1769471872.8501294 [tsd_node-25] [08:57:52.849] [tsd_node.cpp(438)]Send() Error writing to serial port: PortNotOpenedException Serial::write failed.
2026-01-27 08:57:52,WARN,sysbot_monitor_hw_node-27,1769471872.9225030 [sysbot_monitor_hw_node-27] [08:57:52.922] [hw_system_monitor.cpp(1142)]check_disk_alarm() High disk usage detected : 47.0% >= 90.0%
2026-01-27 08:57:53,ERROR,tsd_node-25,1769471873.3500574 [tsd_node-25] [08:57:53.349] [tsd_node.cpp(438)]Send() Error writing to serial port: PortNotOpenedException Serial::write failed.
2026-01-27 08:57:53,ERROR,tsd_node-25,1769471873.8499694 [tsd_node-25] [08:57:53.849] [tsd_node.cpp(438)]Send() Error writing to serial port: PortNotOpenedException Serial::write failed.
2026-01-27 08:57:53,WARN,sysbot_monitor_hw_node-27,1769471873.9046843 [sysbot_monitor_hw_node-27] [08:57:53.904] [hw_system_monitor.cpp(1142)]check_disk_alarm() High disk usage detected : 47.0% >= 90.0%
2026-01-27 08:57:54,ERROR,tsd_node-25,1769471874.3500464 [tsd_node-25] [08:57:54.349] [tsd_node.cpp(438)]Send() Error writing to serial port: PortNotOpenedException Serial::write failed.
2026-01-27 08:57:54,ERROR,tsd_node-25,1769471874.8499844 [tsd_node-25] [08:57:54.849] [tsd_node.cpp(438)]Send() Error writing to serial port: PortNotOpenedException Serial::write failed.
2026-01-27 08:57:54,WARN,sysbot_monitor_hw_node-27,1769471874.9021332 [sysbot_monitor_hw_node-27] [08:57:54.901] [hw_system_monitor.cpp(1142)]check_disk_alarm() High disk usage detected : 47.0% >= 90.0%
2026-01-27 08:57:55,ERROR,tsd_node-25,1769471875.3498266 [tsd_node-25] [08:57:55.349] [tsd_node.cpp(438)]Send() Error writing to serial port: PortNotOpenedException Serial::write failed.
2026-01-27 08:57:55,ERROR,tsd_node-25,1769471875.8499532 [tsd_node-25] [08:57:55.849] [tsd_node.cpp(438)]Send() Error writing to serial port: PortNotOpenedException Serial::write failed.
2026-01-27 08:57:55,WARN,sysbot_monitor_hw_node-27,1769471875.9039533 [sysbot_monitor_hw_node-27] [08:57:55.903] [hw_system_monitor.cpp(1142)]check_disk_alarm() High disk usage detected : 47.0% >= 90.0%
2026-01-27 08:57:56,ERROR,tsd_node-25,1769471876.3498480 [tsd_node-25] [08:57:56.349] [tsd_node.cpp(438)]Send() Error writing to serial port: PortNotOpenedException Serial::write failed.
2026-01-27 08:57:56,ERROR,tsd_node-25,1769471876.8499560 [tsd_node-25] [08:57:56.849] [tsd_node.cpp(438)]Send() Error writing to serial port: PortNotOpenedException Serial::write failed.
2026-01-27 08:57:56,WARN,sysbot_monitor_hw_node-27,1769471876.9064031 [sysbot_monitor_hw_node-27] [08:57:56.906] [hw_system_monitor.cpp(1142)]check_disk_alarm() High disk usage detected : 47.0% >= 90.0%
2026-01-27 08:57:57,ERROR,tsd_node-25,1769471877.3500593 [tsd_node-25] [08:57:57.349] [tsd_node.cpp(438)]Send() Error writing to serial port: PortNotOpenedException Serial::write failed.
2026-01-27 08:57:57,ERROR,tsd_node-25,1769471877.8500242 [tsd_node-25] [08:57:57.849] [tsd_node.cpp(438)]Send() Error writing to serial port: PortNotOpenedException Serial::write failed.
2026-01-27 08:57:57,WARN,sysbot_monitor_hw_node-27,1769471877.9092679 [sysbot_monitor_hw_node-27] [08:57:57.908] [hw_system_monitor.cpp(1142)]check_disk_alarm() High disk usage detected : 47.0% >= 90.0%
2026-01-27 08:57:58,ERROR,tsd_node-25,1769471878.3500452 [tsd_node-25] [08:57:58.349] [tsd_node.cpp(438)]Send() Error writing to serial port: PortNotOpenedException Serial::write failed.
2026-01-27 08:57:58,ERROR,tsd_node-25,1769471878.8499963 [tsd_node-25] [08:57:58.849] [tsd_node.cpp(438)]Send() Error writing to serial port: PortNotOpenedException Serial::write failed.
2026-01-27 08:57:58,WARN,sysbot_monitor_hw_node-27,1769471878.9140790 [sysbot_monitor_hw_node-27] [08:57:58.913] [hw_system_monitor.cpp(1142)]check_disk_alarm() High disk usage detected : 47.0% >= 90.0%
2026-01-27 08:57:59,ERROR,tsd_node-25,1769471879.3499997 [tsd_node-25] [08:57:59.349] [tsd_node.cpp(438)]Send() Error writing to serial port: PortNotOpenedException Serial::write failed.
2026-01-27 08:57:59,ERROR,tsd_node-25,1769471879.8499656 [tsd_node-25] [08:57:59.849] [tsd_node.cpp(438)]Send() Error writing to serial port: PortNotOpenedException Serial::write failed.
2026-01-27 08:57:59,WARN,sysbot_monitor_hw_node-27,1769471879.9031246 [sysbot_monitor_hw_node-27] [08:57:59.902] [hw_system_monitor.cpp(1142)]check_disk_alarm() High disk usage detected : 47.0% >= 90.0%
2026-01-27 08:58:00,ERROR,tsd_node-25,1769471880.3500848 [tsd_node-25] [08:58:00.349] [tsd_node.cpp(438)]Send() Error writing to serial port: PortNotOpenedException Serial::write failed.
